file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff
4198,0,0,,0.00,0
4199,0,0,,0.00,0
4200,0,0,,0.00,0
4201,0,0,,0.00,0
4202,0,0,,0.00,0
4203,1,0,Top/study_load,1.00,1
4204,0,0,,0.00,0
4205,0,0,,0.00,0
4206,1,0,Top/dormitory/conditions,1.00,1
4206,1,0,Top/dormitory,1.00,1
4207,1,0,Top/dormitory/conditions,1.00,1
4208,1,0,Top/dormitory,1.00,1
4209,1,0,Top/dormitory/conditions,1.00,1
4210,0,0,,0.00,0
4211,0,0,,0.00,0
4212,0,0,,0.00,0
4213,0,0,,0.00,0
4214,0,0,,0.00,0
4215,0,0,,0.00,0
4216,0,0,,0.00,0
4217,1,0,Top/corruption,1.00,1
4218,0,0,,0.00,0
4219,0,0,,0.00,0
4220,0,0,,0.00,0
4221,0,0,,0.00,0
4222,0,0,,0.00,0
4223,0,0,,0.00,0
4224,0,0,,0.00,0
4225,0,0,,0.00,0
4226,1,0,Top/RS,1.00,1
4226,1,0,Top/RS/absense,1.00,1
4227,1,0,Top/dormitory,1.00,1
4228,0,0,,0.00,0
4229,0,0,,0.00,0
4230,1,0,Top/dormitory,1.00,1
4231,1,0,Top/dormitory/conditions,1.00,1
4232,0,0,,0.00,0
4233,1,0,Top/dormitory,1.00,1
4234,1,0,Top/dormitory,1.00,1
4235,1,0,Top/dormitory,1.00,1
4236,1,0,Top/dormitory,1.00,1
4236,1,0,Top/dormitory/conditions,1.00,1
4237,0,0,,0.00,0
4238,1,0,Top/RS,1.00,1
4238,1,0,Top/RS/inconsistency,1.00,1
4239,0,0,,0.00,0
4240,0,0,,0.00,0
4241,0,0,,0.00,0
4242,0,0,,0.00,0
4243,1,0,Top/campus,1.00,1
4244,0,0,,0.00,0
4245,0,0,,0.00,0
4246,1,0,Top/study_load,1.00,1
4247,0,0,,0.00,0
4248,1,0,Top/campus,1.00,1
4249,1,0,Top/RS,1.00,1
4249,1,0,Top/RS/inconsistency,1.00,1
4250,0,0,,0.00,0
4251,1,0,Top/study_load,1.00,1
4252,1,0,Top/teacher_inadequancy/requirements,1.00,1
4253,1,0,Top/distance_studying,1.00,1
4254,1,0,Top/distance_studying,1.00,1
4254,1,0,Top/campus,1.00,1
4255,0,0,,0.00,0
4256,0,0,,0.00,0
4257,0,0,,0.00,0
4258,1,0,Top/distance_studying,1.00,1
4259,1,0,Top/corruption,1.00,1
4259,1,0,Top/RS,1.00,1
4260,0,0,,0.00,0
4261,1,0,Top/profanity,1.00,1
4262,0,0,,0.00,0
4263,1,0,Top/distance_studying,1.00,1
4264,0,0,,0.00,0
4265,1,0,Top/distance_studying,1.00,1
4265,1,0,Top/study_load,1.00,1
4266,0,0,,0.00,0
4267,0,0,,0.00,0
4268,0,0,,0.00,0
4269,0,0,,0.00,0
4270,1,0,Top/dormitory,1.00,1
4271,0,0,,0.00,0
4272,0,0,,0.00,0
4273,0,0,,0.00,0
4274,0,0,,0.00,0
4275,1,0,Top/dormitory,1.00,1
4275,1,0,Top/dormitory/quarantine,1.00,1
4276,0,0,,0.00,0
4277,1,0,Top/dormitory,1.00,1
4278,1,0,Top/dormitory,1.00,1
4278,1,0,Top/dormitory/quarantine,1.00,1
4279,0,0,,0.00,0
4280,1,0,Top/dormitory,1.00,1
4281,1,0,Top/dormitory,1.00,1
4282,1,0,Top/dormitory/administration,1.00,1
4283,1,0,Top/dormitory,1.00,1
4284,1,0,Top/dormitory,1.00,1
4285,1,0,Top/dormitory,1.00,1
4286,1,0,Top/dormitory,1.00,1
4287,0,0,,0.00,0
4288,0,0,,0.00,0
4289,1,0,Top/dormitory/conditions,1.00,1
4290,1,0,Top/dormitory,1.00,1
4291,0,0,,0.00,0
4292,1,0,Top/dormitory,1.00,1
4293,0,0,,0.00,0
