file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
1187,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
1960,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
2053,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
2378,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
2381,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
3079,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
3080,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
3308,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
3515,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
3517,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
474,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
501,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
528,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
592,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
687,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
788,1,0,Top/danger/thieves,1.00,1,30May2014 17:07:52.0
